PB1201.3 - MANUTENÇÕES EVOLUTIVAS RELATÓRIOS FINANCEIROS GS3 |***| PB1201.1 - PROV.MANUTENÇÕES EVOLUTIVAS FINANCE |***| {,EVOLUTIVASFINANCE} |***| 2
NAO EXISTE TM1 |***| PB1206.2 - PROV.MANUTENÇÕES EVOLUTIVAS COMECIAL |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1207.1 - 0800006050-IBM BRASIL INDUSTRIA-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1207.2 - 0800006050-IBM BRASIL INDUSTRIA-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1207.3 - 0800006050-IBM BRASIL INDUSTRIA-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1207.4 - 0800006050-IBM BRASIL INDUSTRIA-EM- |***| [] |***| 0
PB1207.3 - MANUTENÇÃO SOFTWARE TRILLIUM |***| PB1207.5 - MANUTENÇÃO SW TRILLIUM - 10/12 |***| {,MANUTENÇÃOTRILLIUMSW} |***| 3
PB1207.2 - SPED - RENOVAÇÃO SW CONNECT |***| PB1207.6 - MANT SW ELA IBM  - 4/12 |***| {,SW} |***| 1
NAO ENCONTROU MATCH |***| PB1207.7 - PEP PB1207 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1208.1 - TRANSF. ICT JFOX |***| [] |***| 0
PB1208.52 - AMS SALES OPERATIONS |***| PB1208.2 - PROV. FORCE ONE - AMS SALES OPERATIONS - |***| {,OPERATIONSAMSSALES} |***| 3
PB1208.4 - HELP DESK CONCESSIONÁRIAS |***| PB1208.3 - PROV. STEFANINI - HELP DESK CONCESSIONÁR |***| {,HELPDESK} |***| 2
PB1208.7 - AMS PORTAL DPR/WCD/SGTR |***| PB1208.4 - PROV. BHTEC - AMS PORTAL DPR E WCD - JAN |***| {,AMSPORTAL} |***| 2
PB1208.47 - AMS DGR |***| PB1208.5 - PROV. DEALERNET - AMS  DGR - JANEIRO/18 |***| {,DGRAMS} |***| 2
NAO ENCONTROU MATCH |***| PB1208.6 - PEP PB1208 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.1 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.2 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.3 - TRANSFERENCIA CAMBIAL FGA ICT |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.4 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.5 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.6 - PROV.ICT DESP FCA ITA JAN-DEZ 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1209.7 - PEP PB1209 |***| [] |***| 0
NAO EXISTE TM1 |***| PB1210.1 - PROV.MANUTENÇÕES EVOLUTIVAS COMPRAS |***| [] |***| 0
NAO EXISTE TM1 |***| PB1210.2 - RESTORE DB ORACLE COMPRAS - HOMOLOGAÇÃO. |***| [] |***| 0
NAO EXISTE TM1 |***| PB1210.3 - 0053700012 - SERVIÇO DE MANUTENÇAÕ EVOLU |***| [] |***| 0
NAO EXISTE TM1 |***| PB1210.4 - PROV.MANUTENÇÕES EVOLUTIVAS COMPRAS |***| [] |***| 0
NAO EXISTE TM1 |***| PB1210.5 - PEP PB1210 |***| [] |***| 0
PB1212.2 - AMS ESC - COMMON SUPPLIERS PORTAL |***| PB1212.1 - PROV. TECHEDGE - ESC COMMON SUPPLIER POR |***| {,ESCCOMMON} |***| 2
PB1212.3 - AMS PMRF (REPORTING FINANCE) |***| PB1212.2 - PROV. TECHEDGE - AMS PMRF - JANEIRO/18 |***| {,AMSPMRF} |***| 2
PB1212.2 - AMS ESC - COMMON SUPPLIERS PORTAL |***| PB1212.3 - PROV. ACCENTURE - ESC COMMON SUPPLIER PO |***| {,ESCCOMMON} |***| 2
PB1212.4 - AMS FS3 SUPPLIERS SENSITIVITY SYSTEM |***| PB1212.4 - PROV. TECHEDGE - GESTÃO MENSAL FS3 - JAN |***| {,FS3} |***| 1
NAO ENCONTROU MATCH |***| PB1212.5 - PEP PB1212 |***| [] |***| 0
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.1 - PROV. ICT FGP FGPS |***| {,FGP} |***| 1
PB1213.4 - P11990 - AMS FINANCE SUPPLIERS SENSITIVITY SYSTEM FS3 |***| PB1213.2 - PROV ICT FGP MANUT FS3 |***| {,FS3} |***| 1
PB1213.13 - P12883 - AMS ESC SUPPLIERS PORTAL: SUPPORT  |***| PB1213.3 - PROV ICT FGP ESC - COMMON SUPPLIERS PORT |***| {,SUPPLIERSESC} |***| 2
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.4 - PROV ICT FGP ORGANIZZAZZIONE ICT |***| {,FGP} |***| 1
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.5 - PROV ICT FGP REPORTING AND SIMULATION |***| {,ANDREPORTINGFGPSIMULATION} |***| 4
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.6 - PROV ICT FGP MAPS (VDDP3) |***| {,FGP} |***| 1
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.7 - PROV ICT FGP MANUT PLUS |***| {,FGP} |***| 1
PB1213.10 - P14383 - AMS GP DOCUMENT MANAGEMENT |***| PB1213.8 - PROV ICT FGP GP - DOCUMENT MANAGEMENT |***| {,DOCUMENTMANAGEMENTGP} |***| 3
PB1213.18 - AMS GLOBAL PBD |***| PB1213.9 - PROV ICT CHRYSLER GLOBAL CONTRACT MANAGE |***| {,GLOBAL} |***| 1
NAO ENCONTROU MATCH |***| PB1213.10 - IRRF FAT.7470000045 FIAT PURCHASING PO. |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1213.11 - FIAT PURCHASING - FAT.7470000045 - PO 61 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1213.12 - PROV.FGPS - SERVIÇO A REGIME |***| [] |***| 0
PB1213.4 - P11990 - AMS FINANCE SUPPLIERS SENSITIVITY SYSTEM FS3 |***| PB1213.13 - PROV.FINANCE SUPPLIERS SENSITIVITY SYSTE |***| {,SUPPLIERSSENSITIVITY} |***| 2
PB1213.13 - P12883 - AMS ESC SUPPLIERS PORTAL: SUPPORT  |***| PB1213.14 - PROV.ESC - COMMON SUPPLIERS PORTAL ITO D |***| {,SUPPLIERS} |***| 1
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.15 - PROV.FGP REPORTING AND SIMULATION FIASA |***| {,ANDREPORTINGSIMULATION} |***| 3
NAO ENCONTROU MATCH |***| PB1213.16 - PROV.PLUS MAINTENENCE |***| [] |***| 0
PB1213.10 - P14383 - AMS GP DOCUMENT MANAGEMENT |***| PB1213.17 - PROV.GP - DOCUMENT MANAGEMENT |***| {,MANAGEMENTDOCUMENT} |***| 2
NAO ENCONTROU MATCH |***| PB1213.18 - PROV.GLOBAL SOURCING & SOURCE PACKAGE: S |***| [] |***| 0
PB1213.14 - P17965 - AMS LATAM PURCHASE ORDER ARCHIVING (DOCMA) |***| PB1213.19 - PROV.AMS FOR LATAM PURCHASE ORDER ARCHIV |***| {,LATAMPURCHASEORDER} |***| 3
PB1213.15 - P18045 - AMS ELEARNING TOOL: SUPPORT |***| PB1213.20 - PROV.ELEARNING TOOL: SUPPORT |***| {,SUPPORTTOOL:} |***| 2
PB1213.10 - P14383 - AMS GP DOCUMENT MANAGEMENT |***| PB1213.21 - PROV.GLOBAL CONTRACT MANAGEMENT CONVERGE |***| {,MANAGEMENT} |***| 1
PB1213.17 - ECMS - 2018 K2 SOFTWARE MAINTENANCE |***| PB1213.22 - PROV.ECMS - 2018 K2 SOFTWARE MAINTENANCE |***| {,K22018MAINTENANCESOFTWARE} |***| 4
PB1213.16 - AMS (PHASE II) GLOBAL SUPPLIER SCORECARD |***| PB1213.23 - PROV.PBD / GLOBAL SCORECARD 2018 |***| {,SCORECARDGLOBAL} |***| 2
NAO ENCONTROU MATCH |***| PB1213.24 - VARIAÇÃO CAMBIAL CHRYSLER JANEIRO |***| [] |***| 0
PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION |***| PB1213.25 - VARIAÇÃO CÂMBIAL FGP JANEIRO |***| {,FGP} |***| 1
NAO ENCONTROU MATCH |***| PB1213.26 - PEP PB1213 |***| [] |***| 0
PB1214.2 - HPC FIASA |***| PB1214.1 - CONTRATAÇÃO GESTÃO HPC |***| {,HPC} |***| 1
NAO ENCONTROU MATCH |***| PB1214.2 - 0053700028 - LICENCAS DE USO SOFTWARE - |***| [] |***| 0
PB1214.2 - HPC FIASA |***| PB1214.3 - PROV. NPO - GESTÃO DO HPC - JANEIRO/18 |***| {,HPC} |***| 1
NAO ENCONTROU MATCH |***| PB1214.4 - PEP PB1214 |***| [] |***| 0
PB1215.1 - MANUTENÇÕES EVOLUTIVAS |***| PB1215.1 - PROV.MANUTENÇÕES EVOLUTIVAS ENGENHARIA |***| {,EVOLUTIVAS} |***| 1
PB1215.1 - MANUTENÇÕES EVOLUTIVAS |***| PB1215.2 - PROV.MANUTENÇÕES EVOLUTIVAS ENGENHARIA |***| {,EVOLUTIVAS} |***| 1
NAO ENCONTROU MATCH |***| PB1216.1 - 0800006050-IBM BRASIL INDUSTRIA-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1216.2 - 0800006050-IBM BRASIL INDUSTRIA-EM- |***| [] |***| 0
PB1216.9 - EXCITE |***| PB1216.3 - PROV.MANUTENÇÃO SW EXCITE 5/12 |***| {,EXCITE} |***| 1
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.4 - PROV.MANUTENÇÃO VIRTUAL LAB 12/12 |***| {,VIRTUALLAB} |***| 2
PB1216.29 - LOGICAL CABLE |***| PB1216.5 - PROV.MANUTENÇÃO SW LOGICAL CABLE 5/12 |***| {,LOGICALCABLE} |***| 2
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.6 - PROV.MANUTENÇÃO SW A2MAC1 4/12 |***| {,SW} |***| 1
PB1216.42 - METAPOST |***| PB1216.7 - PROV.MANUTENÇÃO METAPOST 3/12 |***| {,METAPOST} |***| 1
PB1216.28 - ELEMENTS |***| PB1216.8 - PROV.MANUTENÇÃO ELEMENTS 3/12 |***| {,ELEMENTS} |***| 1
PB1216.41 - FORMING SUITE |***| PB1216.9 - PROV.MANUTENÇÃO SW FORMING SUITE 2/12 |***| {,FORMINGSUITE} |***| 2
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.10 - PROV.MANUTENÇÃO SW CAMEO 2/12 |***| {,SW} |***| 1
PB1216.5 - STAR CCM PLUS |***| PB1216.11 - PROV.MANUTENÇÃO STAR CCM PLUS (COMP) 2/1 |***| {,CCMSTARPLUS} |***| 3
PB1216.27 - ALTIA / ALTIA MATLAB |***| PB1216.12 - PROV.MANUTENÇÃO ALTIA / ALTIA MATLAB 2/1 |***| {,ALTIAMATLAB} |***| 3
PB1216.24 - NCODE |***| PB1216.13 - PROV.MANUTENÇÃO NCODE 2/12 |***| {,NCODE} |***| 1
PB1216.15 - MANUTENÇÃO SW ICEM SURF |***| PB1216.14 - PROV.MANUTENÇÃO SW ICEM SURF  2/12 |***| {,SURFSWICEM} |***| 3
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.15 - PROV.MANUTENÇÃO SW FLOWMASTER 1/12 |***| {,SW} |***| 1
PB1216.18 - MANUTENÇÃO SW AESTHETICA |***| PB1216.16 - PROV.MANUTENÇÃO SW AESTHETICA 1/12 |***| {,AESTHETICASW} |***| 2
PB1216.33 - HELICAL 3D |***| PB1216.17 - PROV.MANUTENÇÃO SW HELICAL 3D (NOVA) - A |***| {,HELICAL3D} |***| 2
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.18 - PROV.MANUTENÇÃO SW MOLDFLOW 1/12 |***| {,SW} |***| 1
PB1216.36 - MANUTENÇÃO SW SYMTA |***| PB1216.19 - PROV.MANUTENÇÃO SW SYMTA 1/12 |***| {,SWSYMTA} |***| 2
NAO ENCONTROU MATCH |***| PB1216.20 - HOTTINGER - FAT.511898392 - PO 61983238 |***| [] |***| 0
PB1216.27 - ALTIA / ALTIA MATLAB |***| PB1216.21 - ALTIA INCORPORATED - FAT.1003861 - PO 61 |***| {,ALTIA} |***| 1
PB1216.27 - ALTIA / ALTIA MATLAB |***| PB1216.22 - IRRF FAT.1003861 ALTIA INCORPORATED PO. |***| {,ALTIA} |***| 1
NAO ENCONTROU MATCH |***| PB1216.23 - IRRF FAT.511898392 HOTTINGER PO. 6198323 |***| [] |***| 0
PB1216.27 - ALTIA / ALTIA MATLAB |***| PB1216.24 - MANUTENÇÃO ALTIA / MATLAB - 3/12 |***| {,ALTIAMATLAB} |***| 3
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.25 - MANUTENÇÃO SW NCODE - 3/12 |***| {,MANUTENÇÃOSW} |***| 2
PB1216.29 - LOGICAL CABLE |***| PB1216.26 - PROV.MANUTENÇÃO SW LOGICAL CABLE 6/12 |***| {,LOGICALCABLE} |***| 2
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.27 - PROV.MANUTENÇÃO SW A2MAC1 5/12 |***| {,SW} |***| 1
PB1216.42 - METAPOST |***| PB1216.28 - PROV.MANUTENÇÃO METAPOST 4/12 |***| {,METAPOST} |***| 1
PB1216.28 - ELEMENTS |***| PB1216.29 - PROV.MANUTENÇÃO ELEMENTS 4/12 |***| {,ELEMENTS} |***| 1
PB1216.41 - FORMING SUITE |***| PB1216.30 - PROV.MANUTENÇÃO SW FORMING SUITE 3/12 |***| {,FORMINGSUITE} |***| 2
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.31 - PROV.MANUTENÇÃO SW CAMEO 3/12 |***| {,SW} |***| 1
PB1216.5 - STAR CCM PLUS |***| PB1216.32 - PROV.MANUTENÇÃO STAR CCM PLUS (COMP) 3/1 |***| {,CCMSTARPLUS} |***| 3
PB1216.15 - MANUTENÇÃO SW ICEM SURF |***| PB1216.33 - PROV.MANUTENÇÃO SW ICEM SURF  3/12 |***| {,SURFSWICEM} |***| 3
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.34 - PROV.MANUTENÇÃO SW FLOWMASTER 2/12 |***| {,SW} |***| 1
PB1216.18 - MANUTENÇÃO SW AESTHETICA |***| PB1216.35 - PROV.MANUTENÇÃO SW AESTHETICA 2/12 |***| {,AESTHETICASW} |***| 2
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.36 - PROV.MANUTENÇÃO SW MOLDFLOW 2/12 |***| {,SW} |***| 1
PB1216.36 - MANUTENÇÃO SW SYMTA |***| PB1216.37 - PROV.MANUTENÇÃO SW SYMTA 2/12 |***| {,SWSYMTA} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.38 - PROV.MANUTENÇÃO VIRTUAL LAB 2/12 |***| {,VIRTUALLAB} |***| 2
PB1216.2 - TCAE / UNIGRAPHICS |***| PB1216.39 - PROV.TCAE / UNIGRAPHICS 1/12 |***| {,UNIGRAPHICS} |***| 2
PB1216.65 - MANUTENÇÃO DO SOFTWARE DEADLINE |***| PB1216.40 - PROV.SW SOFTWARE TESTE.LAB 1/12 |***| {,SOFTWARE} |***| 1
PB1216.14 - MANUTENÇÃO SW PULSE |***| PB1216.41 - PROV.MANUTENÇÃO SW PULSE 1/12 |***| {,SWPULSE} |***| 2
PB1216.4 - HYPERWORKS E PBS |***| PB1216.42 - PROV.E-STAGE E MAGICS 1/12 |***| [] |***| 1
PB1216.9 - EXCITE |***| PB1216.43 - PROV.MANUT SW EXCITE 6/12 |***| {,EXCITE} |***| 1
PB1216.33 - HELICAL 3D |***| PB1216.44 - PROV.MANUTENÇÃO SW HELICAL 3D (NOVA) - A |***| {,HELICAL3D} |***| 2
PB1216.3 - ABAQUS - 140 TOKENSE ISIGHT |***| PB1216.45 - MANUTENÇÃO SOFTWARE ABAQUS E ISIGHT - 10 |***| {,ABAQUSISIGHT} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.46 - MANUTENÇÃO SW ANSYS HFSS - 12/12 |***| {,MANUTENÇÃOSW} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.47 - MANUTENÇÃO SW ANSA - 10/12 |***| {,MANUTENÇÃOSW} |***| 2
PB1216.8 - GT POWER |***| PB1216.48 - MANUTENÇÃO SW GT POWER - 12/12 |***| {,GTPOWER} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.49 - MANUTENÇÃO SW SPECTRENDS - 11/12 |***| {,MANUTENÇÃOSW} |***| 2
NAO ENCONTROU MATCH |***| PB1216.50 - RENOVAÇÃO ANUAL STARCCM+ - 8/15 |***| [] |***| 0
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.51 - MANUTENÇÃO ANUAL SW VIRTUAL LAB E TECWAR |***| {,MANUTENÇÃOSWVIRTUALLAB} |***| 5
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.52 - MANUTENÇÃO DE SW MATLAB - 12/12 |***| {,MANUTENÇÃOSW} |***| 2
PB1216.4 - HYPERWORKS E PBS |***| PB1216.53 - MANUTENÇÃO SW HYPERWORKS E PBS - 6/12 |***| {,HYPERWORKSPBS} |***| 3
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.54 - MANUTENÇÃO SW INCA  - 10/12 |***| {,MANUTENÇÃOSW} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.55 - MANUTENÇÃO AUTOFORM - 6/12 |***| {,MANUTENÇÃO} |***| 1
PB1216.37 - PACOTE ADOBE |***| PB1216.56 - MANUTENÇÃO PACOTE ADOBE - 6/12 |***| {,PACOTEADOBE} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.57 - MANUTENÇÃO SW VI-GRADE - 8/12 |***| {,MANUTENÇÃOSW} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.58 - MANUTENÇÃO DE LICENÇAS KULI - 4/12 |***| {,MANUTENÇÃO} |***| 1
PB1216.12 - SW MADYMO |***| PB1216.59 - MANUTENÇÃO SW MADYMO - 7/12 |***| {,SWMADYMO} |***| 2
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.60 - MANUTENÇÃO DE LICENÇAS E3 - 9/12 |***| {,MANUTENÇÃO} |***| 1
PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE |***| PB1216.61 - MANUTENÇÃO AUTODESK ALIAS/SHOWCASE  - 4/ |***| {,MANUTENÇÃO} |***| 1
PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE |***| PB1216.62 - MANT SW ELA IBM  - 4/12 |***| {,SW} |***| 1
NAO ENCONTROU MATCH |***| PB1216.63 - PEP PB1216 |***| [] |***| 0
PB1217.11 - GESTÃO SISTEMAS SPARK |***| PB1217.1 - PROV. SPARK - AMS SISTEMAS ENGENHARIA - |***| {,SPARKSISTEMAS} |***| 2
PB1217.2 - GESTÃO WORKSTATIONS CAX - GESTÃO MENSAL |***| PB1217.2 - PROV. T-SYSTEMS - GESTAO MENSAL TEAMCENT |***| {,MENSAL} |***| 1
PB1217.7 - SHAREPOINT - APLICAÇÕES ENGENHARIA - MICRO-GESTÃO |***| PB1217.3 - AMS SISTEMAS ENGENHARIA EXPERIMENTAÇÃO |***| {,ENGENHARIA} |***| 1
NAO ENCONTROU MATCH |***| PB1217.4 - 0800033795-FRAMEWORK TECNOLOGIA-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1217.5 - 0800033795-FRAMEWORK TECNOLOGIA-EM- |***| [] |***| 0
PB1217.6 - GESTÃO DO SISTEMA E-CHANGE ( PARTE ENGENHARIA) |***| PB1217.6 - PROV. FRAMEWORK - GESTÃO SISTEMA FRAMEWO |***| {,GESTÃOSISTEMA} |***| 2
PB1217.2 - GESTÃO WORKSTATIONS CAX - GESTÃO MENSAL |***| PB1217.7 - PROV. T-SYSTEMS - GESTAO MENSAL TEAMCENT |***| {,MENSAL} |***| 1
NAO ENCONTROU MATCH |***| PB1217.8 - PEP PB1217 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.1 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.2 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.3 - TRANSFERENCIA CAMBIAL FGA ICT |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.4 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.5 - PROV.ICT DESP FCA ITA JAN-DEZ 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.6 - PROV.ICT DESP FCA ITA JAN-DEZ 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1218.7 - PEP PB1218 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1219.1 - AGUA MINERAL (GALAO 20L) |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1219.2 - AGUA MINERAL (GALAO 20L) |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1219.3 - AGUA MINERAL (GALAO 20L) |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1219.4 - PEP PB1219 |***| [] |***| 0
NAO EXISTE TM1 |***| PB1220.1 - PROV. ICT GOVERNANCE - DESPESAS - JANEIR |***| [] |***| 0
NAO EXISTE TM1 |***| PB1220.2 - PEP PB1220 |***| [] |***| 0
PB1223.1 - IBM SMART AMS |***| PB1223.1 - PROV. IBM - SMART AMS - JANEIRO/18 |***| {,AMSIBMSMART} |***| 3
NAO ENCONTROU MATCH |***| PB1223.2 - PEP PB1223 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1225.1 - PROV. FORCE ONE - PROFESSIONAL SERVICES |***| [] |***| 0
PB1225.2 - SUPORTE GARTNER |***| PB1225.2 - SUP E ASSES ICT GARTNER - 2/3 |***| {,GARTNER} |***| 1
NAO ENCONTROU MATCH |***| PB1225.3 - PEP PB1225 |***| [] |***| 0
PB1226.2 - DRIVE IT - SERVICENOW - SUBSCRIÇÃO |***| PB1226.1 - PROV. IBM - SERVICENOW SUBSCRIPTION FEE |***| {,SERVICENOW} |***| 1
NAO ENCONTROU MATCH |***| PB1226.2 - PROV. FORCE ONE - PROFESSIONAL SERVICES |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1226.3 - PROV. FORCE ONE - PROFESSIONAL SERVICES |***| [] |***| 0
PB1226.2 - DRIVE IT - SERVICENOW - SUBSCRIÇÃO |***| PB1226.4 - MANUTENÇÃO ANUAL DRIVE IT - 10/12 |***| {,DRIVEIT} |***| 2
